org.apache.catalina.session.StandardManager,getNewSession,,1
org.hibernate.validator.internal.engine.messageinterpolation.parser.TokenIterator,replaceCurrentInterpolationTerm,java.lang.String,2
java.lang.management.MemoryUsage,getCommitted,,2
com.fasterxml.jackson.databind.DeserializationConfig,with,java.text.DateFormat,1
java.io.FileOutputStream,write,byte[];int;int,1
ch.qos.logback.classic.selector.ContextSelector,detachLoggerContext,java.lang.String,1
com.fasterxml.jackson.core.JsonProcessingException,<init>,java.lang.String;java.lang.Throwable,2
org.apache.catalina.loader.WebappClassLoaderBase,trackLastModified,java.lang.String;org.apache.catalina.WebResource,2
org.hibernate.validator.internal.engine.messageinterpolation.parser.MessageDescriptorFormatException,setStackTrace,java.lang.StackTraceElement[],2
org.hibernate.validator.constraints.CodePointLength$NormalizationStrategy,<init>,java.lang.String;int;java.text.Normalizer$Form,1
com.fasterxml.jackson.databind.deser.std.StringArrayDeserializer,_parseString,com.fasterxml.jackson.core.JsonParser;com.fasterxml.jackson.databind.DeserializationContext,3
org.apache.tomcat.util.compat.JreCompat,jarFileIsMultiRelease,java.util.jar.JarFile,2
org.hibernate.validator.internal.metadata.aggregated.BeanMetaData,getDefaultValidationSequence,java.lang.Object,3
org.apache.el.parser.ELParser,ReInit,java.io.Reader,1
ch.qos.logback.core.joran.spi.EventPlayer,<init>,ch.qos.logback.core.joran.spi.Interpreter,1
org.jsoup.safety.Whitelist,basicWithImages,,1
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,_writeQuotedInt,int,1
com.fasterxml.jackson.core.json.async.NonBlockingJsonParser,reportInvalidNumber,java.lang.String,2
javax.validation.BootstrapConfiguration,getConstraintValidatorFactoryClassName,,1
com.fasterxml.jackson.datatype.jsr310.deser.InstantDeserializer$FromDecimalArguments,<init>,long;int;java.time.ZoneId,1
ch.qos.logback.classic.layout.TTLLLayout,doLayout,ch.qos.logback.classic.spi.ILoggingEvent,1
org.hibernate.validator.internal.util.ReflectionHelper,isGetterMethod,java.lang.reflect.Executable,1
com.fasterxml.jackson.databind.ser.BasicSerializerFactory,isIndexedList,java.lang.Class,1
org.apache.coyote.http2.StreamStateMachine,sentEndOfStream,,1
org.apache.catalina.startup.ContextConfig,processAnnotations,java.util.Set;boolean;java.util.Map,1
java.io.DataOutput,write,byte[];int;int,2
com.fasterxml.jackson.databind.PropertyName,isEmpty,,14
com.fasterxml.jackson.core.util.TextBuffer,append,java.lang.String;int;int,5
javax.security.auth.message.config.AuthConfigFactory$2,run,,1
com.fasterxml.classmate.Annotations,addAll,com.fasterxml.classmate.Annotations,2
org.apache.coyote.http2.Setting,<init>,java.lang.String;int;int,1
java.net.URLConnection,getPermission,,1
com.fasterxml.jackson.databind.cfg.BaseSettings,<init>,com.fasterxml.jackson.databind.introspect.ClassIntrospector;com.fasterxml.jackson.databind.AnnotationIntrospector;com.fasterxml.jackson.databind.PropertyNamingStrategy;com.fasterxml.jackson.databind.type.TypeFactory;com.fasterxml.jackson.databind.jsontype.TypeResolverBuilder;java.text.DateFormat;com.fasterxml.jackson.databind.cfg.HandlerInstantiator;java.util.Locale;java.util.TimeZone;com.fasterxml.jackson.core.Base64Variant,12
org.apache.tomcat.util.descriptor.web.MessageDestination,getDisplayName,,1
org.apache.tomcat.util.http.ServerCookies,getCookie,int,2
org.hibernate.validator.internal.util.ReflectionHelper,getValue,java.lang.reflect.Method;java.lang.Object,3
java.util.concurrent.LinkedBlockingDeque,add,java.lang.Object,1
org.apache.coyote.http2.Http2Parser$Output,swallowedPadding,int;int,1
org.hibernate.validator.internal.engine.constraintvalidation.ComposingConstraintTree,getValidatedValueType,,1
org.hibernate.validator.internal.engine.path.PathImpl,createPathForExecutable,org.hibernate.validator.internal.metadata.aggregated.ExecutableMetaData,3
org.hibernate.validator.internal.xml.mapping.AbstractConstrainedElementStaxBuilder,getAcceptableQName,,1
org.apache.tomcat.util.buf.ByteChunk,startsWithIgnoreCase,java.lang.String;int,5
org.apache.catalina.session.PersistentManagerBase,swapIn,java.lang.String,2
org.apache.logging.log4j.message.ThreadDumpMessage$ThreadInfoFactory,createThreadInfo,,1
ch.qos.logback.core.spi.ContextAwareBase,addWarn,java.lang.String;java.lang.Throwable,1
com.fasterxml.jackson.databind.deser.DeserializerCache,_createAndCache2,com.fasterxml.jackson.databind.DeserializationContext;com.fasterxml.jackson.databind.deser.DeserializerFactory;com.fasterxml.jackson.databind.JavaType,1
org.apache.tomcat.util.net.openssl.OpenSSLEngine$OpenSSLSession,notifyUnbound,java.lang.Object;java.lang.String,2
org.hibernate.validator.internal.util.annotation.ConstraintAnnotationDescriptor,getType,,9
org.apache.tomcat.util.digester.Rule,setNamespaceURI,java.lang.String,1
java.io.DataInput,readFloat,,1
com.fasterxml.jackson.annotation.OptBoolean,asBoolean,,3
org.apache.logging.log4j.message.MessageFactory,newMessage,java.lang.String,1
ch.qos.logback.core.joran.action.IADataForComplexProperty,getNestedComplexProperty,,2
java.util.Arrays,equals,float[];float[],2
org.apache.catalina.realm.JNDIRealm$User,getPassword,,4
org.apache.catalina.loader.WebappClassLoaderBase$PrivilegedFindClassByName,<init>,org.apache.catalina.loader.WebappClassLoaderBase;java.lang.String,1
org.apache.catalina.startup.Bootstrap,getCatalinaHomeFile,,1
org.apache.logging.log4j.message.Message,getFormat,,2
org.apache.catalina.connector.Response,sendError,int,8
org.hibernate.validator.internal.xml.mapping.ClassLoadingHelper,run,java.security.PrivilegedAction,1
com.fasterxml.jackson.datatype.jsr310.deser.YearDeserializer,_deserializeFromArray,com.fasterxml.jackson.core.JsonParser;com.fasterxml.jackson.databind.DeserializationContext,1
org.yaml.snakeyaml.external.com.google.gdata.util.common.base.PercentEscaper,escapeSlow,java.lang.String;int,1
org.yaml.snakeyaml.scanner.SimpleKey,isRequired,,2
